scope,key,n_responses,avg_C1,avg_C2,avg_C3,avg_C4,avg_total
label,introspective,785,9.21,9.99,9.05,9.11,37.36
label,ecot,785,6.87,9.91,7.7,6.9,31.37
label,deepdialogue,785,7.24,9.92,8.45,7.14,32.75
label,baseline,785,7.24,9.93,7.56,6.92,31.64
domain+label,"('Languages', 'introspective')",25,8.88,9.92,8.96,8.8,36.56
domain+label,"('Languages', 'ecot')",25,7.76,9.96,8.36,7.68,33.76
domain+label,"('Languages', 'deepdialogue')",25,8.56,9.96,9.12,8.4,36.04
domain+label,"('Languages', 'baseline')",25,7.4,9.92,7.72,7.2,32.24
domain+label,"('Photography', 'introspective')",52,9.17,10.0,8.98,8.98,37.13
domain+label,"('Photography', 'ecot')",52,7.17,9.98,8.08,7.29,32.52
domain+label,"('Photography', 'deepdialogue')",52,7.83,9.98,8.87,7.9,34.58
domain+label,"('Photography', 'baseline')",52,8.02,9.96,7.85,7.71,33.54
domain+label,"('Books', 'introspective')",16,9.19,10.0,9.12,9.25,37.56
domain+label,"('Books', 'ecot')",16,6.56,10.0,7.62,6.88,31.06
domain+label,"('Books', 'deepdialogue')",16,6.0,10.0,8.12,6.12,30.25
domain+label,"('Books', 'baseline')",16,6.69,10.0,7.31,6.38,30.38
domain+label,"('Fitness', 'introspective')",28,8.86,9.96,8.64,8.86,36.32
domain+label,"('Fitness', 'ecot')",28,6.61,9.82,7.54,6.57,30.54
domain+label,"('Fitness', 'deepdialogue')",28,6.64,9.86,8.18,6.75,31.43
domain+label,"('Fitness', 'baseline')",28,7.96,9.89,7.43,7.46,32.75
domain+label,"('Travel', 'introspective')",18,9.28,10.0,9.33,9.28,37.89
domain+label,"('Travel', 'ecot')",18,7.44,10.0,8.06,7.33,32.83
domain+label,"('Travel', 'deepdialogue')",18,8.0,10.0,9.17,8.0,35.17
domain+label,"('Travel', 'baseline')",18,8.06,10.0,8.06,7.5,33.61
domain+label,"('Holidays', 'introspective')",10,9.0,10.0,9.4,9.4,37.8
domain+label,"('Holidays', 'ecot')",10,7.9,10.0,8.7,8.2,34.8
domain+label,"('Holidays', 'deepdialogue')",10,7.2,10.0,8.7,7.7,33.6
domain+label,"('Holidays', 'baseline')",10,6.3,9.9,7.3,6.4,29.9
domain+label,"('Home', 'introspective')",43,9.49,10.0,9.05,9.21,37.74
domain+label,"('Home', 'ecot')",43,7.26,10.0,8.16,7.44,32.86
domain+label,"('Home', 'deepdialogue')",43,7.19,10.0,8.86,7.28,33.33
domain+label,"('Home', 'baseline')",43,6.49,9.95,7.53,6.44,30.42
domain+label,"('Gaming', 'introspective')",56,9.34,9.98,8.54,8.73,36.59
domain+label,"('Gaming', 'ecot')",56,6.55,9.98,7.86,6.86,31.25
domain+label,"('Gaming', 'deepdialogue')",56,6.77,9.98,8.66,6.8,32.21
domain+label,"('Gaming', 'baseline')",56,5.89,9.93,6.91,5.79,28.52
domain+label,"('Finance', 'introspective')",6,8.83,9.83,8.0,8.5,35.17
domain+label,"('Finance', 'ecot')",6,7.5,9.83,7.67,7.17,32.17
domain+label,"('Finance', 'deepdialogue')",6,8.83,9.83,8.5,8.5,35.67
domain+label,"('Finance', 'baseline')",6,6.83,9.83,6.83,6.17,29.67
domain+label,"('Work', 'introspective')",9,8.78,10.0,8.56,8.67,36.0
domain+label,"('Work', 'ecot')",9,7.33,9.78,7.56,7.11,31.78
domain+label,"('Work', 'deepdialogue')",9,8.0,10.0,8.78,7.89,34.67
domain+label,"('Work', 'baseline')",9,5.56,9.89,6.67,5.22,27.33
