scope,key,n_responses,avg_C1,avg_C2,avg_C3,avg_C4,avg_total
label,introspective,100,9.56,9.98,9.58,9.53,38.65
label,ecot,100,8.61,9.72,9.16,8.47,35.96
label,deepdialogue,100,9.68,9.89,9.79,9.52,38.88
label,baseline,100,9.14,9.81,9.1,8.9,36.95
domain+label,"('Languages', 'introspective')",3,9.33,10.0,9.67,9.33,38.33
domain+label,"('Languages', 'ecot')",3,10.0,10.0,10.0,10.0,40.0
domain+label,"('Languages', 'deepdialogue')",3,10.0,10.0,10.0,10.0,40.0
domain+label,"('Languages', 'baseline')",3,8.67,10.0,9.0,8.67,36.33
domain+label,"('Photography', 'introspective')",7,9.71,10.0,9.71,9.71,39.14
domain+label,"('Photography', 'ecot')",7,8.71,10.0,9.57,8.86,37.14
domain+label,"('Photography', 'deepdialogue')",7,9.71,10.0,9.86,9.71,39.29
domain+label,"('Photography', 'baseline')",7,9.71,10.0,9.43,9.43,38.57
domain+label,"('Books', 'introspective')",2,9.5,10.0,9.5,9.5,38.5
domain+label,"('Books', 'ecot')",2,8.5,10.0,9.0,8.5,36.0
domain+label,"('Books', 'deepdialogue')",2,8.5,10.0,9.0,8.5,36.0
domain+label,"('Books', 'baseline')",2,9.5,10.0,9.5,9.0,38.0
domain+label,"('Fitness', 'introspective')",4,9.25,9.75,9.0,9.25,37.25
domain+label,"('Fitness', 'ecot')",4,8.5,9.25,8.75,8.25,34.75
domain+label,"('Fitness', 'deepdialogue')",4,9.5,9.5,9.75,9.5,38.25
domain+label,"('Fitness', 'baseline')",4,9.25,9.25,8.25,8.5,35.25
domain+label,"('Travel', 'introspective')",2,10.0,10.0,10.0,10.0,40.0
domain+label,"('Travel', 'ecot')",2,7.5,10.0,8.5,7.5,33.5
domain+label,"('Travel', 'deepdialogue')",2,10.0,10.0,10.0,10.0,40.0
domain+label,"('Travel', 'baseline')",2,9.5,10.0,9.0,8.5,37.0
domain+label,"('Holidays', 'introspective')",1,10.0,10.0,10.0,10.0,40.0
domain+label,"('Holidays', 'ecot')",1,9.0,10.0,10.0,9.0,38.0
domain+label,"('Holidays', 'deepdialogue')",1,10.0,10.0,10.0,10.0,40.0
domain+label,"('Holidays', 'baseline')",1,9.0,10.0,9.0,9.0,37.0
domain+label,"('Home', 'introspective')",5,10.0,10.0,10.0,10.0,40.0
domain+label,"('Home', 'ecot')",5,9.6,10.0,9.6,9.4,38.6
domain+label,"('Home', 'deepdialogue')",5,10.0,10.0,10.0,10.0,40.0
domain+label,"('Home', 'baseline')",5,9.4,10.0,9.4,9.2,38.0
domain+label,"('Gaming', 'introspective')",7,9.57,10.0,9.57,9.43,38.57
domain+label,"('Gaming', 'ecot')",7,9.14,10.0,9.57,9.0,37.71
domain+label,"('Gaming', 'deepdialogue')",7,9.86,10.0,10.0,9.71,39.57
domain+label,"('Gaming', 'baseline')",7,9.14,9.86,9.14,8.86,37.0
domain+label,"('Finance', 'introspective')",1,8.0,9.0,8.0,8.0,33.0
domain+label,"('Finance', 'ecot')",1,9.0,9.0,9.0,9.0,36.0
domain+label,"('Finance', 'deepdialogue')",1,9.0,9.0,9.0,9.0,36.0
domain+label,"('Finance', 'baseline')",1,8.0,9.0,8.0,8.0,33.0
domain+label,"('Work', 'introspective')",1,9.0,10.0,9.0,9.0,37.0
domain+label,"('Work', 'ecot')",1,8.0,9.0,9.0,8.0,34.0
