scope,key,n_responses,avg_C1,avg_C2,avg_C3,avg_C4,avg_total
label,introspective,685,9.16,9.99,8.97,9.05,37.17
label,ecot,685,6.62,9.93,7.49,6.67,30.7
label,deepdialogue,685,6.88,9.92,8.25,6.8,31.85
label,baseline,685,6.96,9.95,7.33,6.63,30.87
domain+label,"('Languages', 'introspective')",22,8.82,9.91,8.86,8.73,36.32
domain+label,"('Languages', 'ecot')",22,7.45,9.95,8.14,7.36,32.91
domain+label,"('Languages', 'deepdialogue')",22,8.36,9.95,9.0,8.18,35.5
domain+label,"('Languages', 'baseline')",22,7.23,9.91,7.55,7.0,31.68
domain+label,"('Photography', 'introspective')",45,9.09,10.0,8.87,8.87,36.82
domain+label,"('Photography', 'ecot')",45,6.93,9.98,7.84,7.04,31.8
domain+label,"('Photography', 'deepdialogue')",45,7.53,9.98,8.71,7.62,33.84
domain+label,"('Photography', 'baseline')",45,7.76,9.96,7.6,7.44,32.76
domain+label,"('Books', 'introspective')",14,9.14,10.0,9.07,9.21,37.43
domain+label,"('Books', 'ecot')",14,6.29,10.0,7.43,6.64,30.36
domain+label,"('Books', 'deepdialogue')",14,5.64,10.0,8.0,5.79,29.43
domain+label,"('Books', 'baseline')",14,6.29,10.0,7.0,6.0,29.29
domain+label,"('Fitness', 'introspective')",24,8.79,10.0,8.58,8.79,36.17
domain+label,"('Fitness', 'ecot')",24,6.29,9.92,7.33,6.29,29.83
domain+label,"('Fitness', 'deepdialogue')",24,6.17,9.92,7.92,6.29,30.29
domain+label,"('Fitness', 'baseline')",24,7.75,10.0,7.29,7.29,32.33
domain+label,"('Travel', 'introspective')",16,9.19,10.0,9.25,9.19,37.62
domain+label,"('Travel', 'ecot')",16,7.44,10.0,8.0,7.31,32.75
domain+label,"('Travel', 'deepdialogue')",16,7.75,10.0,9.06,7.75,34.56
domain+label,"('Travel', 'baseline')",16,7.88,10.0,7.94,7.38,33.19
domain+label,"('Holidays', 'introspective')",9,8.89,10.0,9.33,9.33,37.56
domain+label,"('Holidays', 'ecot')",9,7.78,10.0,8.56,8.11,34.44
domain+label,"('Holidays', 'deepdialogue')",9,6.89,10.0,8.56,7.44,32.89
domain+label,"('Holidays', 'baseline')",9,6.0,9.89,7.11,6.11,29.11
domain+label,"('Home', 'introspective')",38,9.42,10.0,8.92,9.11,37.45
domain+label,"('Home', 'ecot')",38,6.95,10.0,7.97,7.18,32.11
domain+label,"('Home', 'deepdialogue')",38,6.82,10.0,8.71,6.92,32.45
domain+label,"('Home', 'baseline')",38,6.11,9.95,7.29,6.08,29.42
