scope,key,n_dialogues,avg_avg_emotional_entropy,avg_avg_emotion_matching,avg_avg_prompt_emotional_entropy
label,nec,100,1.161534,0.470211,1.15844
label,ecot,100,1.290309,0.331186,1.15844
label,deepdialogue,100,1.388815,0.288865,1.15844
label,baseline,100,1.163742,0.405909,1.15844
domain+label,"('Languages', 'nec')",3,0.968677,0.200255,0.89902
domain+label,"('Languages', 'ecot')",3,1.581971,0.311381,0.89902
domain+label,"('Languages', 'deepdialogue')",3,1.204579,0.329799,0.89902
domain+label,"('Languages', 'baseline')",3,1.229048,0.192755,0.89902
domain+label,"('Photography', 'nec')",7,1.131024,0.443822,1.132619
domain+label,"('Photography', 'ecot')",7,1.329004,0.44451,1.132619
domain+label,"('Photography', 'deepdialogue')",7,1.47159,0.386642,1.132619
domain+label,"('Photography', 'baseline')",7,1.020845,0.316765,1.132619
domain+label,"('Books', 'nec')",2,1.763263,0.306637,1.772025
domain+label,"('Books', 'ecot')",2,1.515556,0.26891,1.772025
domain+label,"('Books', 'deepdialogue')",2,1.159188,0.288677,1.772025
domain+label,"('Books', 'baseline')",2,1.433663,0.519374,1.772025
domain+label,"('Fitness', 'nec')",4,0.975687,0.417363,0.946543
domain+label,"('Fitness', 'ecot')",4,1.297306,0.216573,0.946543
domain+label,"('Fitness', 'deepdialogue')",4,1.635766,0.368698,0.946543
domain+label,"('Fitness', 'baseline')",4,1.135804,0.371381,0.946543
domain+label,"('Travel', 'nec')",2,1.400414,0.693586,1.349162
domain+label,"('Travel', 'ecot')",2,1.390748,0.64953,1.349162
domain+label,"('Travel', 'deepdialogue')",2,1.57329,0.543952,1.349162
domain+label,"('Travel', 'baseline')",2,0.902809,0.642517,1.349162
domain+label,"('Holidays', 'nec')",1,1.54765,0.702085,1.558712
domain+label,"('Holidays', 'ecot')",1,1.67679,0.775859,1.558712
domain+label,"('Holidays', 'deepdialogue')",1,1.509163,0.455029,1.558712
domain+label,"('Holidays', 'baseline')",1,1.455127,0.830584,1.558712
domain+label,"('Home', 'nec')",5,1.073583,0.279463,0.964673
domain+label,"('Home', 'ecot')",5,0.871754,0.271187,0.964673
domain+label,"('Home', 'deepdialogue')",5,1.504868,0.418235,0.964673
domain+label,"('Home', 'baseline')",5,1.480974,0.426521,0.964673
domain+label,"('Gaming', 'nec')",7,1.443923,0.536819,1.46095
domain+label,"('Gaming', 'ecot')",7,1.284946,0.185568,1.46095
domain+label,"('Gaming', 'deepdialogue')",7,1.306078,0.083951,1.46095
domain+label,"('Gaming', 'baseline')",7,0.981576,0.212933,1.46095
domain+label,"('Finance', 'nec')",1,0.316993,1.0,0.396241
domain+label,"('Finance', 'ecot')",1,0.967318,0.0104,0.396241
domain+label,"('Finance', 'deepdialogue')",1,1.351965,-0.009607,0.396241
domain+label,"('Finance', 'baseline')",1,2.35285,0.413135,0.396241
domain+label,"('Work', 'nec')",1,1.479784,0.131653,1.346455
domain+label,"('Work', 'ecot')",1,1.284618,0.187213,1.346455
domain+label,"('Work', 'deepdialogue')",1,1.171071,0.455761,1.346455
domain+label,"('Work', 'baseline')",1,0.70095,0.21869,1.346455
domain+label,"('Politics', 'nec')",5,0.834329,0.350418,0.708695
domain+label,"('Politics', 'ecot')",5,0.531551,-0.146074,0.708695
domain+label,"('Politics', 'deepdialogue')",5,1.169427,-0.022584,0.708695
domain+label,"('Politics', 'baseline')",5,0.666691,0.372805,0.708695
domain+label,"('Fashion', 'nec')",6,1.044839,0.543419,0.923939
domain+label,"('Fashion', 'ecot')",6,1.145018,0.467066,0.923939
domain+label,"('Fashion', 'deepdialogue')",6,1.401857,0.394361,0.923939
domain+label,"('Fashion', 'baseline')",6,1.693877,0.545335,0.923939
domain+label,"('Podcasts', 'nec')",1,1.522055,0.434262,1.278864
domain+label,"('Podcasts', 'ecot')",1,1.204347,0.272095,1.278864
domain+label,"('Podcasts', 'deepdialogue')",1,0.459148,0.264042,1.278864
domain+label,"('Podcasts', 'baseline')",1,0.710056,0.632456,1.278864
domain+label,"('Music', 'nec')",1,1.280075,0.957841,1.920112
domain+label,"('Music', 'ecot')",1,0.773976,0.681377,1.920112
domain+label,"('Music', 'deepdialogue')",1,1.973976,-0.544331,1.920112
domain+label,"('Music', 'baseline')",1,1.306099,0.816437,1.920112
domain+label,"('Shopping', 'nec')",4,1.169873,0.599763,1.121993
domain+label,"('Shopping', 'ecot')",4,1.479527,0.28998,1.121993
domain+label,"('Shopping', 'deepdialogue')",4,1.550072,0.494901,1.121993
