scope,key,n,avg_emotional_entropy,avg_emotion_matching,avg_prompt_emotional_entropy
label,nec,685,1.161583,0.474535,1.155135
label,ecot,685,1.318958,0.328493,1.155135
label,deepdialogue,685,1.389349,0.301385,1.155135
label,baseline,685,1.159018,0.412142,1.155135
domain+label,"('Languages', 'nec')",22,0.99232,0.318941,0.951548
domain+label,"('Languages', 'ecot')",22,1.600286,0.318577,0.951548
domain+label,"('Languages', 'deepdialogue')",22,1.213027,0.289921,0.951548
domain+label,"('Languages', 'baseline')",22,1.224757,0.239817,0.951548
domain+label,"('Photography', 'nec')",45,1.178204,0.448757,1.210764
domain+label,"('Photography', 'ecot')",45,1.347807,0.434863,1.210764
domain+label,"('Photography', 'deepdialogue')",45,1.494569,0.355659,1.210764
domain+label,"('Photography', 'baseline')",45,1.013627,0.333422,1.210764
domain+label,"('Books', 'nec')",14,1.791458,0.311401,1.807014
domain+label,"('Books', 'ecot')",14,1.527758,0.286497,1.807014
domain+label,"('Books', 'deepdialogue')",14,1.142843,0.317765,1.807014
domain+label,"('Books', 'baseline')",14,1.430396,0.519032,1.807014
domain+label,"('Fitness', 'nec')",24,1.01372,0.602514,0.973071
domain+label,"('Fitness', 'ecot')",24,1.292915,0.156231,0.973071
domain+label,"('Fitness', 'deepdialogue')",24,1.604368,0.359302,0.973071
domain+label,"('Fitness', 'baseline')",24,1.098986,0.449865,0.973071
domain+label,"('Travel', 'nec')",16,1.37978,0.681993,1.326658
domain+label,"('Travel', 'ecot')",16,1.365575,0.652708,1.326658
domain+label,"('Travel', 'deepdialogue')",16,1.565854,0.522593,1.326658
domain+label,"('Travel', 'baseline')",16,0.944908,0.642384,1.326658
domain+label,"('Holidays', 'nec')",9,1.54765,0.702085,1.558712
domain+label,"('Holidays', 'ecot')",9,1.67679,0.775859,1.558712
domain+label,"('Holidays', 'deepdialogue')",9,1.509163,0.455029,1.558712
domain+label,"('Holidays', 'baseline')",9,1.455127,0.830584,1.558712
domain+label,"('Home', 'nec')",38,0.933468,0.288036,0.803598
domain+label,"('Home', 'ecot')",38,0.940582,0.278407,0.803598
domain+label,"('Home', 'deepdialogue')",38,1.453088,0.438872,0.803598
domain+label,"('Home', 'baseline')",38,1.484224,0.436876,0.803598
domain+label,"('Gaming', 'nec')",49,1.358533,0.518536,1.362578
domain+label,"('Gaming', 'ecot')",49,1.236109,0.187845,1.362578
domain+label,"('Gaming', 'deepdialogue')",49,1.173943,0.024024,1.362578
domain+label,"('Gaming', 'baseline')",49,1.027896,0.232364,1.362578
domain+label,"('Finance', 'nec')",5,0.316993,1.0,0.396241
domain+label,"('Finance', 'ecot')",5,0.967318,0.0104,0.396241
domain+label,"('Finance', 'deepdialogue')",5,1.351965,-0.009607,0.396241
domain+label,"('Finance', 'baseline')",5,2.35285,0.413135,0.396241
domain+label,"('Work', 'nec')",8,1.479784,0.131653,1.346455
domain+label,"('Work', 'ecot')",8,1.284618,0.187213,1.346455
domain+label,"('Work', 'deepdialogue')",8,1.171071,0.455761,1.346455
domain+label,"('Work', 'baseline')",8,0.70095,0.21869,1.346455
domain+label,"('Politics', 'nec')",31,0.817863,0.365873,0.740982
domain+label,"('Politics', 'ecot')",31,0.651114,-0.035673,0.740982
domain+label,"('Politics', 'deepdialogue')",31,1.201834,0.053166,0.740982
domain+label,"('Politics', 'baseline')",31,0.660984,0.365609,0.740982
domain+label,"('Fashion', 'nec')",38,1.093,0.447785,1.031926
domain+label,"('Fashion', 'ecot')",38,1.130641,0.459392,1.031926
domain+label,"('Fashion', 'deepdialogue')",38,1.410622,0.340878,1.031926
domain+label,"('Fashion', 'baseline')",38,1.627545,0.541366,1.031926
domain+label,"('Podcasts', 'nec')",4,1.522055,0.434262,1.278864
domain+label,"('Podcasts', 'ecot')",4,1.204347,0.272095,1.278864
domain+label,"('Podcasts', 'deepdialogue')",4,0.459148,0.264042,1.278864
domain+label,"('Podcasts', 'baseline')",4,0.710056,0.632456,1.278864
domain+label,"('Music', 'nec')",3,1.280075,0.957841,1.920112
domain+label,"('Music', 'ecot')",3,0.773976,0.681377,1.920112
domain+label,"('Music', 'deepdialogue')",3,1.973976,-0.544331,1.920112
domain+label,"('Music', 'baseline')",3,1.306099,0.816437,1.920112
domain+label,"('Shopping', 'nec')",23,1.181608,0.641942,1.157877
domain+label,"('Shopping', 'ecot')",23,1.529522,0.336891,1.157877
domain+label,"('Shopping', 'deepdialogue')",23,1.525789,0.503659,1.157877
domain+label,"('Shopping', 'baseline')",23,1.431182,0.622637,1.157877
domain+label,"('Health', 'nec')",19,1.589687,0.607452,1.470758
domain+label,"('Health', 'ecot')",19,1.427897,0.453895,1.470758
domain+label,"('Health', 'deepdialogue')",19,1.773324,0.471375,1.470758
domain+label,"('Health', 'baseline')",19,1.246704,0.50097,1.470758
domain+label,"('Nature', 'nec')",36,1.352723,0.690902,1.429796
domain+label,"('Nature', 'ecot')",36,1.363039,0.471349,1.429796
domain+label,"('Nature', 'deepdialogue')",36,1.160223,0.435785,1.429796
domain+label,"('Nature', 'baseline')",36,1.173434,0.381793,1.429796
domain+label,"('Cooking', 'nec')",35,1.016278,0.567681,1.052243
domain+label,"('Cooking', 'ecot')",35,1.528138,0.645313,1.052243
domain+label,"('Cooking', 'deepdialogue')",35,1.673547,0.335741,1.052243
domain+label,"('Cooking', 'baseline')",35,1.156404,0.574971,1.052243
domain+label,"('Science', 'nec')",18,0.58095,0.384817,0.554509
domain+label,"('Science', 'ecot')",18,1.365824,0.25536,0.554509
domain+label,"('Science', 'deepdialogue')",18,1.203542,0.108605,0.554509
domain+label,"('Science', 'baseline')",18,0.876522,0.335839,0.554509
domain+label,"('Spirituality', 'nec')",14,1.412639,0.492596,1.517972
domain+label,"('Spirituality', 'ecot')",14,1.401701,0.407436,1.517972
domain+label,"('Spirituality', 'deepdialogue')",14,1.843249,0.50307,1.517972
domain+label,"('Spirituality', 'baseline')",14,1.343123,0.566322,1.517972
domain+label,"('Events', 'nec')",8,1.879622,0.509566,2.144338
domain+label,"('Events', 'ecot')",8,0.860088,0.556412,2.144338
domain+label,"('Events', 'deepdialogue')",8,1.91885,-0.01771,2.144338
domain+label,"('Events', 'baseline')",8,1.230265,0.042103,2.144338
domain+label,"('Gardening', 'nec')",25,1.185539,0.505031,1.173223
domain+label,"('Gardening', 'ecot')",25,1.548165,0.352374,1.173223
domain+label,"('Gardening', 'deepdialogue')",25,1.471455,0.483814,1.173223
domain+label,"('Gardening', 'baseline')",25,1.11796,0.486872,1.173223
domain+label,"('Philosophy', 'nec')",21,1.279415,0.48208,1.215864
domain+label,"('Philosophy', 'ecot')",21,1.248879,0.053332,1.215864
domain+label,"('Philosophy', 'deepdialogue')",21,1.009362,-0.127003,1.215864
domain+label,"('Philosophy', 'baseline')",21,1.374119,0.140706,1.215864
domain+label,"('Cars', 'nec')",22,1.495234,0.375025,1.372332
domain+label,"('Cars', 'ecot')",22,1.605244,0.317951,1.372332
domain+label,"('Cars', 'deepdialogue')",22,1.746903,0.249174,1.372332
domain+label,"('Cars', 'baseline')",22,0.741115,0.302374,1.372332
domain+label,"('Pets', 'nec')",8,0.899815,0.57061,1.033086
domain+label,"('Pets', 'ecot')",8,1.305139,0.599753,1.033086
domain+label,"('Pets', 'deepdialogue')",8,1.302094,0.38138,1.033086
domain+label,"('Pets', 'baseline')",8,0.998464,0.654616,1.033086
domain+label,"('Weather', 'nec')",25,1.177088,0.45756,1.3376
domain+label,"('Weather', 'ecot')",25,1.606185,0.447417,1.3376
domain+label,"('Weather', 'deepdialogue')",25,1.27615,0.345389,1.3376
